SampleID	Cohort	CRAM_Dir	Mode
SMHT001	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT001	SMAHT_BASED
SMHT004	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT004	SMAHT_BASED
SMHT005	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT005	SMAHT_BASED
SMHT007	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT007	SMAHT_BASED
SMHT008	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT008	SMAHT_BASED
SMHT009	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT009	SMAHT_BASED
SMHT012	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT012	SMAHT_BASED
SMHT015	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT015	SMAHT_BASED
SMHT020	SMAHT_25	/storage2/fs1/epigenome/Active/shared_smaht/SMaHT_Aligned_WGS_Data/ProductionData/SMHT020	SMAHT_BASED
SMHT022	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT022	SMAHT_BASED
SMHT023	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT023	SMAHT_BASED
SMHT024	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT024	SMAHT_BASED
SMHT035	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT035	SMAHT_BASED
SMHT039	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT039	SMAHT_BASED
SMHT040	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT040	SMAHT_BASED
SMHT042	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT042	SMAHT_BASED
SMHT043	SMAHT_25	/storage1/fs1/jin810/Active/testing/emmac/smaht_downloads/SMHT043	SMAHT_BASED
